id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1001,1,true_false,preview,1002,Officials review your application before approving citizenship.,,true,,,
1002,1,multi_select,main,,What do officials check when you apply?,Status|Not prohibited|Requirements met|Your salary,0|1|2,,,"Officials check your status, that you're not prohibited from applying, and that you meet the requirements."
1003,1,true_false,exercise,1002,Officials check if you're prohibited from applying.,,true,,,
1004,1,true_false,exercise,1002,Applying skips every eligibility check.,,false,,,
1005,1,select_blank,exercise,1002,Officials verify you meet all ___.,requirements|holidays|hobbies|debts,0,,,
1006,1,multiple_choice,exercise,1002,What might block your application?,Being prohibited|Shoe size|Your horoscope|Pet's name,0,,,
1007,1,true_false,exercise,1002,Applying for citizenship involves zero checks.,,false,,,
1008,1,true_false,preview,1009,Your citizenship application can take months.,,true,,,
1009,1,select_blank,main,,Your application may take several ___.,months|days|hours|minutes,0,,,Processing an application can take several months from start to finish.
1010,1,true_false,exercise,1009,Applications are usually processed within one day.,,false,,,
1011,1,multiple_choice,exercise,1009,About how long can processing take?,Several months|One week|One day|Ten years,0,,,
1012,1,select_blank,exercise,1009,Processing can take several ___.,months|seconds|minutes|hours,0,,,
1013,1,true_false,exercise,1009,Processing time is always instant.,,false,,,
1014,1,true_false,preview,1015,You must give the Call Centre your address.,,true,,,
1015,1,select_blank,main,,Keep the Call Centre updated with your ___.,address|passport|photo|salary,0,,,"While your application is processed, the Call Centre must always have your correct address."
1016,1,true_false,exercise,1015,Address updates matter while your application processes.,,true,,,
1017,1,multiple_choice,exercise,1015,Who should have your current address?,Call Centre|Your employer|Your landlord|Your school,0,,,
1018,1,true_false,exercise,1015,You can ignore address changes during processing.,,false,,,
1019,1,select_blank,exercise,1015,Call Centre phone numbers are listed on ___.,page 54|page 6|page 100|page 1,0,,,Telephone numbers for the Call Centre are printed on page 54 of the guide.
1020,1,true_false,preview,1021,Studying this guide helps you prepare.,,true,,,
1021,1,multi_select,main,,Which are recommended ways to prepare?,Study guide|With family|Local classes|Language classes|Skip studying,0|1|2|3,,,"The guide recommends studying it, practicing with a friend or family member, contacting local citizenship classes, and taking free government language classes."
1022,1,true_false,exercise,1021,A friend can help you practice questions.,,true,,,
1023,1,multiple_choice,exercise,1021,Where can you ask about citizenship classes?,Community centre|Grocery store|Movie theater|Gas station,0,,,
1024,1,true_false,exercise,1021,The government offers free language classes.,,true,,,
1025,1,select_blank,exercise,1021,You should ___ this guide to prepare.,study|ignore|sell|hide,0,,,
1026,1,true_false,exercise,1021,Local schools can share citizenship class info.,,true,,,
1027,1,multiple_choice,exercise,1021,Which languages get free government classes?,English/French|Spanish/German|Mandarin/Hindi|Arabic/Farsi,0,,,
1028,1,true_false,preview,1029,The citizenship test is usually written.,,true,,,
1029,1,multiple_choice,main,,What form can the citizenship test take?,Written/interview|Only written|Oral exam|Group discussion,0,,,The test is usually written but could instead be given as an interview.
1030,1,true_false,exercise,1029,The test could be an interview instead.,,true,,,
1031,1,true_false,exercise,1029,The test is always a group discussion.,,false,,,
1032,1,multiple_choice,exercise,1029,Which is the test usually given as?,Written test|Video call|Group project|Home visit,0,,,
1033,1,true_false,exercise,1029,An interview format is possible for the test.,,true,,,
1034,1,true_false,preview,1035,The test checks your knowledge of Canada.,,true,,,
1035,1,multi_select,main,,What two things does the test assess?,Canada knowledge|Language ability|Your income|Job skills,0|1,,,"The test checks two things: your knowledge of Canada's rights and responsibilities, and your knowledge of English or French."
1036,1,true_false,exercise,1035,The test checks your language ability too.,,true,,,
1037,1,multiple_choice,exercise,1035,"Besides Canada knowledge, what else is tested?",Language ability|Cooking skill|Driving skill|Sports ability,0,,,
1038,1,true_false,exercise,1035,The test assesses rights and responsibilities knowledge.,,true,,,
1039,1,select_blank,exercise,1035,The test checks Canada knowledge and ___.,language ability|your salary|your car|your pet,0,,,
1040,1,true_false,preview,1041,Some older applicants skip the written test.,,true,,,
1041,1,select_blank,main,,Applicants ___ and older skip the test.,55|18|65|100,0,,,Adult applicants 55 years of age and over do not need to write the citizenship test.
1042,1,true_false,exercise,1041,Adults 55 and up must still write the test.,,false,,,
1043,1,multiple_choice,exercise,1041,What age exempts you from the test?,55+|Under 18|Exactly 30|Exactly 40,0,,,
1044,1,true_false,exercise,1041,The age exemption applies to applicants under 55.,,false,,,
1045,1,select_blank,exercise,1041,Adults 55 or older ___ write the test.,needn't|must|can never|always,0,,,
1046,1,true_false,exercise,1041,The test age exemption starts at 55.,,true,,,
1047,1,true_false,preview,1048,Test questions follow the Citizenship Regulations.,,true,,,
1048,1,select_blank,main,,Test questions come from the Citizenship ___.,Regulations|Newspaper|Constitution only|Internet,0,,,All citizenship test questions are based on the subject areas noted in the Citizenship Regulations.
1049,1,true_false,exercise,1048,All required test info appears in this guide.,,true,,,
1050,1,multiple_choice,exercise,1048,Where is all required test info found?,Study guide|News site|A blog|A textbook,0,,,
1051,1,true_false,exercise,1048,Test questions can include random outside topics.,,false,,,
