term,definition,link
Confederation,"Confederation is when several separate British colonies joined together in 1867 to form one country: Canada.",https://en.wikipedia.org/wiki/Canadian_Confederation
Dominion of Canada,"Canada's official name at Confederation in 1867 — ""Dominion"" was the term Canadians chose instead of calling the new country a kingdom or republic.",
Fathers of Confederation,"The politicians from Nova Scotia, New Brunswick, and the old Province of Canada who met in the 1860s and hammered out the deal that created Canada.",
British North America Act,"The 1867 law passed by the British Parliament that actually created Canada. It's still in force today, just renamed the Constitution Act, 1867.",
Constitution Act,"Canada's founding constitutional law — the 1867 version created the country, and a 1982 version added the Charter of Rights and Freedoms and brought the constitution fully under Canadian control.",
Responsible government,"A system where the people running the government (the Cabinet) only stay in power as long as they have the support of the majority of elected representatives — not because a governor simply appointed them.",
United Empire Loyalists,"Colonists who stayed loyal to the British Crown during the American Revolution and fled to Canada afterward, settling mostly in what's now Ontario and the Maritimes.",https://en.wikipedia.org/wiki/United_Empire_Loyalist
War of 1812,"A war between the United States and Britain (fought partly on Canadian soil) that ended in a stalemate — but it's remembered here because it kept Canada from being absorbed into the U.S.",https://en.wikipedia.org/wiki/War_of_1812
Royal Proclamation of 1763,"A decree from King George III that first recognized Indigenous peoples' rights to their land — it's the starting point for the treaty relationship between the Crown and First Nations.",
Red River,"The Manitoba settlement where, in 1869-70, the Métis rose up under Louis Riel after Canada tried to take over the territory without consulting the people already living there.",https://en.wikipedia.org/wiki/Red_River_Rebellion
1885 Rebellion,"A second uprising led by Louis Riel and the Métis, this time in Saskatchewan, that ended with Riel's trial and execution for treason.",
NWMP,"Short for North West Mounted Police — the force created in 1873 to police the newly settled Canadian West. It later became the RCMP.",
Quiet Revolution,"A period in the 1960s when Quebec rapidly modernized and moved away from Church control, and when Quebec nationalism (the idea of Quebec as a distinct society) grew stronger.",https://en.wikipedia.org/wiki/Quiet_Revolution
Official Languages Act,"A 1969 federal law that made English and French equal languages across the federal government, guaranteeing Canadians the right to federal services in either one.",
Vimy Ridge,"A First World War battle (1917) where Canadian troops fought together as one force for the first time and won — often called the moment Canada started feeling like a real nation.",https://en.wikipedia.org/wiki/Battle_of_Vimy_Ridge
Hundred Days,"The final string of Allied victories that ended the First World War in 1918, with Canadian troops under General Arthur Currie playing a leading role.",
D-Day,"June 6, 1944 — the day Allied forces landed in Normandy, France, to begin liberating Europe from Nazi occupation. Canadian troops led one of the five landing beaches.",https://en.wikipedia.org/wiki/Normandy_landings
Juno Beach,"The stretch of Normandy coastline that Canadian soldiers were assigned to capture on D-Day in 1944.",https://en.wikipedia.org/wiki/Juno_Beach
Battle of the Atlantic,"The Second World War naval campaign where Canadian warships helped protect supply convoys crossing the Atlantic from German submarines.",
Underground Railroad,"Not an actual railroad — a secret network of routes and safe houses that helped enslaved people escape the United States to freedom in Canada in the 1800s.",https://en.wikipedia.org/wiki/Underground_Railroad
Chinese Head Tax,"A fee the Canadian government charged Chinese immigrants (and only Chinese immigrants) to enter the country, starting in the 1880s. Canada formally apologized for it in 2006.",
Yukon Gold Rush,"A rush of prospectors into the Yukon in the 1890s after gold was discovered in the Klondike region, quickly turning a remote territory into a boomtown.",https://en.wikipedia.org/wiki/Klondike_Gold_Rush
Constitutional monarchy,"A system of government where a king or queen is the official head of state, but real day-to-day power rests with an elected government acting within the rules of a constitution.",https://en.wikipedia.org/wiki/Constitutional_monarchy
the Sovereign,"Canada's head of state — currently King Charles III. The role is symbolic and non-partisan; the elected Prime Minister and Cabinet actually run the country.",
the Crown,"Another name for the Sovereign's role as head of state — used to talk about the authority of the monarchy as an institution, separate from whoever happens to be king or queen at the time. You'll see it in phrases like ""Crown land"" (government-owned land) or ""the Crown prosecutes"" (the government brings criminal charges, not a private citizen).",
Governor General,"The Sovereign's representative in Canada, appointed on the Prime Minister's advice. The Governor General performs ceremonial duties and formally signs bills into law, but doesn't make political decisions.",https://en.wikipedia.org/wiki/Governor_General_of_Canada
Lieutenant Governor,"The Sovereign's representative in each province — basically the provincial version of the Governor General.",
Commissioner,"The federal government's representative in each of Canada's three territories (Yukon, Northwest Territories, Nunavut) — similar to a Lieutenant Governor, but appointed by Ottawa rather than the Sovereign.",
confidence vote,"A vote in the House of Commons on a major issue (like the budget) that tests whether the governing party still has enough support to keep governing. Losing one usually triggers an election.",
non-confidence,"When the House of Commons votes against the government on a major issue, showing it no longer has majority support — this can force the government to resign or call an election.",
Parliament,"Canada's federal law-making body, made up of three parts working together: the Sovereign (represented by the Governor General), the Senate, and the House of Commons.",https://en.wikipedia.org/wiki/Parliament_of_Canada
House of Commons,"The elected chamber of Parliament, where Members of Parliament (MPs) debate and vote on laws. This is the chamber that actually decides who forms the government.",
Senate,"Parliament's second chamber, whose members (Senators) are appointed rather than elected. It reviews and can propose changes to bills passed by the House of Commons.",
Senator,"A member of the Senate, appointed by the Governor General on the Prime Minister's advice, who serves until age 75.",
Royal assent,"The final formal step that turns a bill into law — the Governor General signs it on the Sovereign's behalf, after it has already passed both the House of Commons and the Senate.",
riding,"Another word for an electoral district — the specific geographic area whose voters elect one Member of Parliament (or one provincial representative).",
Cabinet,"The Prime Minister and the ministers chosen to run government departments (like Health or Finance). Cabinet proposes most new laws and the federal budget.",
Official Opposition,"The opposition party with the most seats in the House of Commons — its job is to challenge and hold the government to account.",
majority government,"A government where the winning party holds more than half the seats in the House of Commons, letting it pass laws without needing support from other parties.",
minority government,"A government where the winning party holds less than half the seats in the House of Commons, meaning it needs support from at least one other party to pass laws.",
