id,title,description,min_level,section,image,section_image
1,Applying for Citizenship & the Test,How the citizenship process and test actually work — requirements and what to expect.,1,Getting Started,unit1.png,
2,Rights and Responsibilities of Citizenship,The rights every Canadian has and the responsibilities that come with them.,1,Getting Started,unit2.png,
3,Who We Are,Canada's official languages diversity and what it means to become Canadian.,1,Getting Started,unit3.png,
4,"Indigenous Peoples, New France & Early Canada",First peoples early European exploration New France and the Conquest.,1,Canada's History,unit4.png,
5,The Road to Confederation,Responsible government the War of 1812 the Rebellions and Confederation itself.,1,Canada's History,unit5.png,
6,Building the Dominion,Westward expansion the transcontinental railway and women winning the vote.,1,Canada's History,unit6.png,
7,Canada in the World Wars,Canada's role in the First and Second World Wars.,1,Canada's History,unit7.png,
8,Modern Canada,Post-war growth Quebec's place in Confederation and Canada on the world stage.,1,Canada's History,unit8.png,
9,How Canadians Govern Themselves,Canada's constitutional monarchy and the three branches of government.,1,Government & Justice,unit9.png,
10,Federal Elections,How federal elections work ridings parties and your right to vote.,1,Government & Justice,unit10.png,
11,The Justice System,How Canada's courts and legal system actually work.,1,Government & Justice,unit11.png,
12,Canadian Symbols,The flag coat of arms anthem and other national symbols.,1,Symbols & Economy,unit12.png,
13,Canada's Economy,How Canada's economy works and what powers it.,1,Symbols & Economy,unit13.png,
14,The Atlantic Provinces,Newfoundland and Labrador Nova Scotia New Brunswick and Prince Edward Island.,1,Canada's Regions,unit14.png,
15,Central Canada,Ontario and Quebec.,1,Canada's Regions,unit15.png,
16,The Prairie Provinces,Manitoba Saskatchewan and Alberta.,1,Canada's Regions,unit16.png,
17,The West Coast,British Columbia.,1,Canada's Regions,unit17.png,
18,The Northern Territories,Yukon the Northwest Territories and Nunavut.,1,Canada's Regions,unit18.png,
19,Practice Exam 1,20 real-exam-style questions spanning every topic to test your readiness.,1,Practice Exams,unit19.png,
20,Practice Exam 2,20 more real-exam-style questions spanning every topic to test your readiness.,1,Practice Exams,unit20.png,
21,Practice Exam 3,20 more real-exam-style questions spanning every topic to test your readiness.,1,Practice Exams,unit21.png,
